target_contact,receiver_contact,source_contact,value,unit
6,7,5,-0.335919967629552,ns
6,7,6,0.8177268692630404,ns
6,7,7,-0.3779982849470028,ns
6,7,8,-0.051565787149876724,ns
6,7,9,0.5593651079674857,ns
6,8,1,-0.20202838745360271,ns
6,8,2,-0.4057984366590766,ns
6,8,3,-0.19612935467859013,ns
6,8,4,-0.03670544087459325,ns
6,8,5,-1.0076550553658359,ns
6,8,6,-0.09250990569001358,ns
6,8,7,-1.0917768903114586,ns
6,8,8,-0.13414183173658212,ns
6,8,9,-0.46528832789694596,ns
6,9,1,0.0007199016473353864,ns
6,9,2,0.0018947199860692772,ns
6,9,3,0.0007727362471002777,ns
6,9,4,0.0001281177381166862,ns
6,9,5,0.0043847755987360786,ns
6,9,6,-0.023016732615157545,ns
6,9,7,0.0047651789577426535,ns
6,9,8,0.00045333893565225507,ns
6,9,9,-0.017755104524269094,ns
7,1,1,-0.015492861111673775,ns
7,1,2,-0.0933399425511171,ns
7,1,3,-0.24299769355252404,ns
7,1,4,-0.07385169047241893,ns
7,1,5,-0.06092605659561836,ns
7,1,6,-0.5880710424857076,ns
7,1,7,-1.2449889423604057,ns
7,1,8,-0.4902849850294352,ns
7,1,9,-0.08680889066471886,ns
7,2,1,0.04049221003210984,ns
7,2,2,0.23842382808801282,ns
7,2,3,0.5831693223392115,ns
7,2,4,0.18034270868448488,ns
7,2,5,0.15153676420038348,ns
7,2,6,1.4164846721041433,ns
7,2,7,0.20044277792554405,ns
7,2,8,1.2665276561898562,ns
7,2,9,-0.40230290117027523,ns
7,3,1,0.05728620143962193,ns
7,3,2,0.3449019949897531,ns
7,3,3,0.8591106042232065,ns
7,3,4,0.2684860223759067,ns
7,3,5,0.22548537644876135,ns
7,3,6,2.0916250823805966,ns
7,3,7,3.132645779276057,ns
7,3,8,1.7638278073444154,ns
7,3,9,-0.29021318995092105,ns
7,4,1,0.014315775103199686,ns
7,4,2,0.0829083196273801,ns
7,4,3,0.1882419693618012,ns
7,4,4,0.06113603242298136,ns
7,4,5,0.05393340609583318,ns
7,4,6,0.48166877976192424,ns
7,4,7,-0.08431081101863601,ns
7,4,8,0.4330316147797402,ns
7,4,9,-0.485644053324259,ns
7,5,1,-0.010910039299126411,ns
7,5,2,-0.06619870583913323,ns
7,5,3,-0.18104273910005184,ns
7,5,4,-0.05420309481853608,ns
7,5,5,-0.044565860770813995,ns
7,5,6,-0.4458000860331369,ns
7,5,7,-1.4693424129429826,ns
7,5,8,-0.3551127396195886,ns
7,5,9,-0.08184456288841926,ns
7,6,1,0.019238837797537243,ns
7,6,2,0.11757990894022206,ns
7,6,3,0.3352697937859403,ns
7,6,4,0.1007141863211346,ns
7,6,5,0.08043224193755423,ns
7,6,6,0.8293178620257059,ns
7,6,7,1.6745229640620594,ns
7,6,8,0.675496249675201,ns
7,6,9,-0.44758941831125487,ns
7,7,1,-0.00016008608442502815,ns
7,7,2,-0.0008982021788196572,ns
7,7,3,-0.0019009332248229665,ns
7,7,4,-0.0006128352190027064,ns
7,7,5,-0.0005854145473841929,ns
7,7,6,-0.00525784644841906,ns
7,7,7,-0.005936985540423927,ns
7,7,8,-0.004168991905061588,ns
7,7,9,0.019495614823847606,ns
7,8,1,0.008095715895460409,ns
7,8,2,0.05298394816044552,ns
7,8,3,0.1653953989727962,ns
7,8,4,0.04970967511588749,ns
7,8,5,0.03622185481208985,ns
7,8,6,0.37856805275604377,ns
7,8,7,0.5942278924719964,ns
7,8,8,0.3168834384568934,ns
7,8,9,0.067710759131439,ns
7,9,1,-1.1402393027580718e-6,ns
7,9,2,2.96083842257032e-6,ns
7,9,3,-0.00011107873769640325,ns
7,9,4,-9.811290625266006e-6,ns
7,9,5,-4.065151745626691e-5,ns
7,9,6,-0.00037819879772491504,ns
7,9,7,-0.07086669927155982,ns
7,9,8,-0.00011421199018877685,ns
7,9,9,-0.06039063683182005,ns
8,1,1,-0.009386753402741182,ns
8,1,2,-0.0015386986995565355,ns
8,1,3,-0.004959668560599926,ns
8,1,4,-0.026532792131927656,ns
8,1,5,-0.05521229136606634,ns
8,1,6,-0.004979155643131785,ns
8,1,7,-0.013636501581706376,ns
8,1,8,-0.709857682208726,ns
8,1,9,-0.5051393830769997,ns
8,2,1,0.18258497958827055,ns
8,2,2,0.029098157402267913,ns
8,2,3,0.15376663042391772,ns
8,2,4,0.39221873454249434,ns
8,2,5,1.0571362761400944,ns
8,2,6,0.11548510210557382,ns
8,2,7,0.9195513107368016,ns
8,2,8,-0.06110675146134833,ns
8,2,9,-0.45617851980346574,ns
8,3,1,0.2139495969977775,ns
8,3,2,0.03355711559616096,ns
8,3,3,0.186151541523977,ns
8,3,4,0.5013196969276437,ns
8,3,5,1.2803467575402978,ns
8,3,6,0.14140805449760283,ns
8,3,7,1.1436748413206472,ns
8,3,8,0.22670942128836055,ns
8,3,9,-0.36060652561426,ns
8,4,1,0.5865229120480957,ns
8,4,2,0.09263885529666205,ns
8,4,3,0.49004637051115213,ns
8,4,4,1.3679189124242732,ns
8,4,5,3.4986967054546714,ns
8,4,6,0.3764263845895826,ns
8,4,7,2.9448032105180784,ns
8,4,8,3.0075225033241897,ns
8,4,9,-0.9021138365966065,ns
8,5,1,0.4743786789782055,ns
8,5,2,0.075973446314924,ns
8,5,3,0.40400367318696495,ns
8,5,4,1.1240168535362232,ns
8,5,5,2.888694496648823,ns
8,5,6,0.31141181254861083,ns
8,5,7,2.5006314505461757,ns
8,5,8,2.4419326118441664,ns
8,5,9,-1.1935367525548233,ns
8,6,1,-0.04537095769201028,ns
8,6,2,-0.006875831152899202,ns
8,6,3,-0.04061599951680733,ns
8,6,4,-0.1373190289338713,ns
8,6,5,-0.3115865266175319,ns
8,6,6,-0.03100248059670606,ns
8,6,7,-0.26498945417083175,ns
8,6,8,-1.1761821571644568,ns
8,6,9,-0.5645559373142275,ns
8,7,1,-0.06807061384875812,ns
8,7,2,-0.011568973816941558,ns
8,7,3,-0.05262940876846146,ns
8,7,4,-0.1200844480659628,ns
8,7,5,-0.3679841120149535,ns
8,7,6,-0.04162645387420883,ns
8,7,7,-0.29386420585396955,ns
8,7,8,-0.07736330590371046,ns
8,7,9,0.16846687393467938,ns
8,8,1,-0.0011343219867174198,ns
8,8,2,-0.0001810179215040757,ns
8,8,3,-0.0009948309497085617,ns
8,8,4,-0.003277886703312807,ns
8,8,5,-0.007872916365398556,ns
8,8,6,-0.0008091677952351078,ns
8,8,7,-0.006608241694163642,ns
8,8,8,-0.021664458833494417,ns
8,8,9,0.01028752572426128,ns
8,9,1,-0.00011700749367595259,ns
8,9,2,-2.2516253344932424e-5,ns
8,9,3,-0.00010804606920487408,ns
8,9,4,-0.0004991786918781512,ns
8,9,5,-0.001211767847304404,ns
8,9,6,-0.0001210994958056596,ns
8,9,7,-0.0008864931259860098,ns
8,9,8,-0.05291216656979024,ns
8,9,9,-0.03763774719231232,ns
