target_contact,receiver_contact,source_contact,value,unit
3,5,8,0.020422382056023987,dimensionless
3,5,9,-0.009133679977489303,dimensionless
3,6,1,-0.0072973998449855325,dimensionless
3,6,2,-0.0076878998194906435,dimensionless
3,6,3,0.01587458325855391,dimensionless
3,6,4,0.010602207086766154,dimensionless
3,6,5,-0.0027296387921051848,dimensionless
3,6,6,-0.018136810857188365,dimensionless
3,6,7,-0.06701931499114648,dimensionless
3,6,8,-0.016825589687321528,dimensionless
3,6,9,-0.016448639073280723,dimensionless
3,7,1,-0.03373280525492171,dimensionless
3,7,2,-0.113181852532029,dimensionless
3,7,3,0.051435573254003976,dimensionless
3,7,4,-0.07076003901330946,dimensionless
3,7,5,-0.0077204424415811814,dimensionless
3,7,6,-0.063304632706705,dimensionless
3,7,7,-0.241196540141848,dimensionless
3,7,8,-0.05770762131328808,dimensionless
3,7,9,-0.05279462752081984,dimensionless
3,8,1,0.015044219430840841,dimensionless
3,8,2,0.0036146484627336043,dimensionless
3,8,3,0.034094998231342405,dimensionless
3,8,4,0.004532983127403931,dimensionless
3,8,5,0.0012880482849403462,dimensionless
3,8,6,0.00784601153419916,dimensionless
3,8,7,0.060918091890908285,dimensionless
3,8,8,0.020472009279835276,dimensionless
3,8,9,-0.03214349737430797,dimensionless
3,9,1,-0.0011286697581569406,dimensionless
3,9,2,-0.006015087866646894,dimensionless
3,9,3,0.008317446045596751,dimensionless
3,9,4,-0.0044064013198729,dimensionless
3,9,5,-0.00025936235438654855,dimensionless
3,9,6,-0.002450839951131824,dimensionless
3,9,7,-0.007644819191765276,dimensionless
3,9,8,-0.001652630064268252,dimensionless
3,9,9,-0.008144005350478998,dimensionless
4,1,1,-0.14935571532931807,dimensionless
4,1,2,-0.12060427585783272,dimensionless
4,1,3,0.109024168865424,dimensionless
4,1,4,-0.021426282972920842,dimensionless
4,1,5,-0.029751498544138597,dimensionless
4,1,6,-0.010094960118323478,dimensionless
4,1,7,-0.253333755204221,dimensionless
4,1,8,-0.12875621329359185,dimensionless
4,1,9,0.019577782474705936,dimensionless
4,2,1,-0.09550540631571805,dimensionless
4,2,2,-0.07798488990760322,dimensionless
4,2,3,0.13498062092734142,dimensionless
4,2,4,-0.006853891773292109,dimensionless
4,2,5,-0.02189393088205101,dimensionless
4,2,6,-0.008046854963090006,dimensionless
4,2,7,-0.16907793671476404,dimensionless
4,2,8,-0.06337071959821901,dimensionless
4,2,9,0.005982037770748989,dimensionless
4,3,1,-0.037707458705103364,dimensionless
4,3,2,-0.012373841243498378,dimensionless
4,3,3,-0.37139962477840055,dimensionless
4,3,4,0.07303367799989437,dimensionless
4,3,5,-0.012342497440082673,dimensionless
4,3,6,-0.004640952861242267,dimensionless
4,3,7,-0.076350617307414,dimensionless
4,3,8,-0.18497380902518926,dimensionless
4,3,9,-0.07462908069994538,dimensionless
4,4,1,0.0003960373425881079,dimensionless
4,4,2,0.0003457704664503676,dimensionless
4,4,3,-0.00013042210993686651,dimensionless
4,4,4,0.001965645592651027,dimensionless
4,4,5,0.00010310763878649283,dimensionless
4,4,6,4.2618032076497977e-5,dimensionless
4,4,7,0.0009046883942966093,dimensionless
4,4,8,0.0007367914421427155,dimensionless
4,4,9,-0.0004993158177396388,dimensionless
4,5,1,0.04437808147123438,dimensionless
4,5,2,0.03264927395692202,dimensionless
4,5,3,-0.025588948201275493,dimensionless
4,5,4,0.014757935763412085,dimensionless
4,5,5,0.00951406303078565,dimensionless
4,5,6,0.0032901783396182896,dimensionless
4,5,7,0.07363292212325794,dimensionless
4,5,8,0.05401648942577436,dimensionless
4,5,9,-0.012927406759625152,dimensionless
4,6,1,0.054290892047443036,dimensionless
4,6,2,0.041613010758694204,dimensionless
4,6,3,0.00013889161097492368,dimensionless
4,6,4,0.022849316868864142,dimensionless
4,6,5,0.013047566719813285,dimensionless
4,6,6,0.004891719316838758,dimensionless
4,6,7,0.10541949271455921,dimensionless
4,6,8,0.09210320605370789,dimensionless
4,6,9,-0.021297053047733376,dimensionless
4,7,1,0.012256511430992788,dimensionless
4,7,2,0.012148584520911566,dimensionless
4,7,3,-0.06945168698850213,dimensionless
4,7,4,0.07310573583654568,dimensionless
4,7,5,0.0005830835940230214,dimensionless
4,7,6,-0.00046238426475666633,dimensionless
4,7,7,0.012438198811957863,dimensionless
4,7,8,-0.017652604655770125,dimensionless
4,7,9,-0.07278012112788464,dimensionless
4,8,1,-0.06439264817486326,dimensionless
4,8,2,-0.04665198022743801,dimensionless
4,8,3,-0.18115018970825958,dimensionless
4,8,4,0.04721394487495819,dimensionless
4,8,5,-0.02234065766425169,dimensionless
4,8,6,-0.010360482595220025,dimensionless
4,8,7,-0.17241536077732553,dimensionless
4,8,8,-0.2311972572276427,dimensionless
4,8,9,-0.048211882175113095,dimensionless
4,9,1,-0.00031486484788872807,dimensionless
4,9,2,-1.521426402792619e-5,dimensionless
4,9,3,-0.0019573287250275132,dimensionless
4,9,4,0.004997492992316971,dimensionless
4,9,5,-0.00010542072006482588,dimensionless
4,9,6,-3.9375600201200686e-5,dimensionless
4,9,7,-0.00033826762172723865,dimensionless
4,9,8,-0.0010784998412094453,dimensionless
4,9,9,-0.004755978355213743,dimensionless
5,1,1,-0.09422878030940618,dimensionless
5,1,2,-0.2230485812975325,dimensionless
5,1,3,-0.04684712580897482,dimensionless
5,1,4,-0.08949337435809,dimensionless
5,1,5,-0.00842931280794501,dimensionless
5,1,6,-0.328777045795972,dimensionless
5,1,7,-0.18288641009458362,dimensionless
5,1,8,-0.176439705399951,dimensionless
5,1,9,0.007808505376171205,dimensionless
5,2,1,-0.027316651861635104,dimensionless
5,2,2,-0.1082409373715589,dimensionless
5,2,3,-0.023133324117237668,dimensionless
5,2,4,-0.03740073553091191,dimensionless
5,2,5,-0.009447037852703804,dimensionless
5,2,6,-0.12573777442491518,dimensionless
5,2,7,-0.08933024492113872,dimensionless
5,2,8,-0.03521576034490267,dimensionless
5,2,9,0.00829632768290921,dimensionless
5,3,1,-0.015038472184135666,dimensionless
5,3,2,-0.13236678053994314,dimensionless
5,3,3,-0.028178094722325284,dimensionless
5,3,4,-0.0465336710100242,dimensionless
5,3,5,-0.017721861844114,dimensionless
5,3,6,-0.06199735083132317,dimensionless
5,3,7,-0.10676042781139551,dimensionless
5,3,8,-0.01805457854714093,dimensionless
5,3,9,0.016307066277380607,dimensionless
5,4,1,-0.02238984132657871,dimensionless
5,4,2,-0.05210385678352478,dimensionless
5,4,3,-0.01122925326955822,dimensionless
5,4,4,-0.01702461349125276,dimensionless
5,4,5,-0.0013213299136059548,dimensionless
5,4,6,-0.10314531992295765,dimensionless
5,4,7,-0.04437414543408303,dimensionless
5,4,8,-0.026312430694890636,dimensionless
5,4,9,0.00021768822726389277,dimensionless
5,5,1,2.6134827117781856e-5,dimensionless
5,5,2,-9.100932054130031e-5,dimensionless
5,5,3,-2.303160344034645e-5,dimensionless
5,5,4,-3.346723046828845e-6,dimensionless
5,5,5,-0.0022966169414188986,dimensionless
5,5,6,-0.00036784702099603274,dimensionless
5,5,7,-9.13772763739985e-5,dimensionless
5,5,8,6.990221029779289e-5,dimensionless
5,5,9,0.002613899941393868,dimensionless
5,6,1,-0.07165803649082751,dimensionless
5,6,2,-0.06563223085281909,dimensionless
5,6,3,-0.013111677671158088,dimensionless
5,6,4,-0.03523144840365988,dimensionless
5,6,5,0.03933097421426235,dimensionless
5,6,6,-0.23060406188289084,dimensionless
5,6,7,-0.05481220541531505,dimensionless
5,6,8,-0.15124597087289662,dimensionless
5,6,9,-0.040320625420715114,dimensionless
5,7,1,0.048359711815911595,dimensionless
5,7,2,0.10998284715902695,dimensionless
5,7,3,0.022985301572061856,dimensionless
5,7,4,0.04533481850775202,dimensionless
5,7,5,0.015828161866556712,dimensionless
5,7,6,0.18064322886153691,dimensionless
5,7,7,0.09021122550709919,dimensionless
5,7,8,0.09612331300236242,dimensionless
5,7,9,-0.014536350474756848,dimensionless
5,8,1,-0.11279141008743893,dimensionless
5,8,2,-0.2804517948184073,dimensionless
5,8,3,-0.06001602298696221,dimensionless
5,8,4,-0.10784853679596937,dimensionless
5,8,5,0.0015165654656558733,dimensionless
5,8,6,-0.2690329948647782,dimensionless
5,8,7,-0.23229834147349693,dimensionless
5,8,8,-0.2111565988993149,dimensionless
5,8,9,-0.0020439692491670694,dimensionless
5,9,1,-0.0003288926297159965,dimensionless
5,9,2,-0.00032748326260565456,dimensionless
5,9,3,-6.350533260568618e-5,dimensionless
5,9,4,-0.00016596922519580704,dimensionless
5,9,5,0.005345226807016662,dimensionless
