target_contact,channel_contact,rmse_keV,normalized_rmse,edge_rmse_keV,edge_normalized_rmse,correlation
6,1,0.6577662388829295,0.03568034228264818,0.33722010277475695,0.026904900102503536,0.9939188514042437
6,2,0.39717646707490833,0.03971764670749083,0.29324250722643386,0.029324250722643386,0.9688604624559186
6,3,0.25991588223719114,0.025991588223719116,0.21879218740992026,0.021879218740992027,0.9454744442033152
6,4,0.28084584934087536,0.028084584934087536,0.29491361138055555,0.029491361138055554,0.9882456997370869
6,5,2.2999828508174116,0.07464669736169273,0.3779216754669773,0.01610158846364322,0.9762755956912367
6,6,16.364661337495598,0.012318129201326267,11.522194818452045,0.03454200683802772,0.9996106575930954
6,7,2.050611626839457,0.06396834508538575,0.4843267528862363,0.024114627129685783,0.9810065091688683
6,8,2.123509329572163,0.06558281678210594,0.8718879343763131,0.044974975328294836,0.9807391595089769
6,9,26.569572135490144,0.0200033742466782,38.92075678122034,0.11664743230673902,0.9990935845610167
7,1,0.7574026355405767,0.04185840972704316,1.0243015396993393,0.07702198639182413,0.9922221333507274
7,2,0.5380756631263601,0.053807566312636015,0.3231881086671951,0.03231881086671951,0.9801244306580311
7,3,1.9168759896175467,0.1270052771431865,2.3236853506263233,0.23236853506263233,0.9381215863392333
7,4,0.33984914398067523,0.024616226320986357,0.28688018695830186,0.024673359267025775,0.9966497557566208
7,5,1.3047691138609574,0.04545868703009922,1.7511912034273165,0.08186107260030151,0.990645283341795
7,6,1.5529271159833073,0.07414907357856033,1.3851943826020687,0.07127955681744798,0.9706566622998262
7,7,25.364810668118057,0.019095467724160153,30.732872047655757,0.12387167996201913,0.9990846018377892
7,8,0.6602866182622985,0.03212300224202505,0.4626009143707724,0.03028401988442147,0.9945704019339625
7,9,14.26432739129697,0.010753237920000432,6.6206024774998165,0.019726488498553706,0.9997011203555052
8,1,0.788201917184771,0.03444101212744509,0.36597033242629207,0.020222128304952375,0.9944105263372078
8,2,0.4280879164098336,0.03914939799648295,0.5499375152447267,0.05151553321247402,0.9933995888642221
8,3,0.4170484792654473,0.04170484792654473,0.35810087425997317,0.03581008742599732,0.9871227371082083
8,4,2.0577620342717373,0.13274126738047695,1.710914616536082,0.1710914616536082,0.9463094252657656
8,5,3.1723155894123476,0.14231712777925756,2.194685769612907,0.1106663077834501,0.9222887498084669
8,6,1.117558243986627,0.034998756430063754,1.0560529759960569,0.042347509210032545,0.9942306832454811
8,7,1.4678877653864177,0.04680934078029838,0.492642438896127,0.022520263977209864,0.9894264704433773
8,8,29.598906658262198,0.02227800313899761,31.83864341836063,0.1354445355206651,0.9987114844576556
8,9,13.894704105845156,0.010464121205643764,6.121587098408962,0.01867301336719137,0.9997088271797567
